L1 Boxes
 ---DumpBoxHead---          LocName              LocType                 Name                 Type   X       Y   W      H
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  84   83528   1      8
 ---DumpBox---                   L1                   L1                  Out           TileBuffer  84   16708   1  66820
 ---DumpBox---                   L1                   L1                   In           TileBuffer  84       0   1  16708
 ---DumpBox---                   L1                   L1         expr_33_in_0           TileBuffer  83   66820   1  16708
 ---DumpBox---                   L1                   L1        expr_33_out_0           TileBuffer  83       0   1  66820
 ---DumpBox---                   L1                   L1        SigmoidLUT_u8           TileBuffer  82  112832   1    128
 ---DumpBox---                   L1                   L1              BuffOut          TileOneTile  82  112760   1     72
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  82  112740   1     20
 ---DumpBox---                   L1                   L1                  Out               TileDB  82  106108   1   6632
 ---DumpBox---                   L1                   L1               Filter           TileBuffer  82  106092   1     16
 ---DumpBox---                   L1                   L1               ScaleN           TileBuffer  82  106088   1      4
 ---DumpBox---                   L1                   L1                Scale           TileBuffer  82  106084   1      4
 ---DumpBox---                   L1                   L1                 Bias           TileBuffer  82  106080   1      4
 ---DumpBox---                   L1                   L1                   In               TileDB  82       0   1 106080
 ---DumpBox---                   L1                   L1                  Out               TileDB  81   33416   1  33416
 ---DumpBox---                   L1                   L1                   In               TileDB  81       0   1  33416
 ---DumpBox---                   L1                   L1          expr_4_in_7               TileDB  80  102784   1  12848
 ---DumpBox---                   L1                   L1          expr_4_in_6               TileDB  80   89936   1  12848
 ---DumpBox---                   L1                   L1          expr_4_in_5               TileDB  80   77088   1  12848
 ---DumpBox---                   L1                   L1          expr_4_in_4               TileDB  80   64240   1  12848
 ---DumpBox---                   L1                   L1          expr_4_in_3               TileDB  80   51392   1  12848
 ---DumpBox---                   L1                   L1          expr_4_in_2               TileDB  80   38544   1  12848
 ---DumpBox---                   L1                   L1          expr_4_in_1               TileDB  80   25696   1  12848
 ---DumpBox---                   L1                   L1          expr_4_in_0               TileDB  80   12848   1  12848
 ---DumpBox---                   L1                   L1         expr_4_out_0               TileDB  80       0   1  12848
 ---DumpBox---                   L1                   L1         expr_32_in_3           TileBuffer  79   67088   1     16
 ---DumpBox---                   L1                   L1         expr_32_in_2           TileBuffer  79   67072   1     16
 ---DumpBox---                   L1                   L1         expr_32_in_1               TileDB  79   66560   1    512
 ---DumpBox---                   L1                   L1         expr_32_in_0               TileDB  79   33280   1  33280
 ---DumpBox---                   L1                   L1        expr_32_out_0               TileDB  79       0   1  33280
 ---DumpBox---                   L1                   L1             RsqrtLUT           TileBuffer  78  115120   1    384
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  78  115104   1     16
 ---DumpBox---                   L1                   L1                  Out               TileDB  78  113360   1   1744
 ---DumpBox---                   L1                   L1                   In               TileDB  78       0   1 113360
 ---DumpBox---                   L1                   L1        expr_31_out_1               TileDB  77   69904   1  32896
 ---DumpBox---                   L1                   L1        expr_31_out_0               TileDB  77   37008   1  32896
 ---DumpBox---                   L1                   L1         expr_31_in_1           TileBuffer  77   32896   1   4112
 ---DumpBox---                   L1                   L1         expr_31_in_0               TileDB  77       0   1  32896
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  76  115104   1     16
 ---DumpBox---                   L1                   L1                  Out               TileDB  76  113360   1   1744
 ---DumpBox---                   L1                   L1                   In               TileDB  76       0   1 113360
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  75  115680   1      8
 ---DumpBox---                   L1                   L1                  Out               TileDB  75   57840   1  57840
 ---DumpBox---                   L1                   L1                   In               TileDB  75       0   1  57840
 ---DumpBox---                   L1                   L1                  Out               TileDB  74   57824   1  57824
 ---DumpBox---                   L1                   L1                   In               TileDB  74       0   1  57824
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  73  110560   1     20
 ---DumpBox---                   L1                   L1                  Out               TileDB  73   91840   1  18720
 ---DumpBox---                   L1                   L1              ConvOut          TileOneTile  73   54400   1  37440
 ---DumpBox---                   L1                   L1               Filter           TileBuffer  73   52096   1   2304
 ---DumpBox---                   L1                   L1               ScaleN           TileBuffer  73   52080   1     16
 ---DumpBox---                   L1                   L1                Scale           TileBuffer  73   52064   1     16
 ---DumpBox---                   L1                   L1                 Bias           TileBuffer  73   52000   1     64
 ---DumpBox---                   L1                   L1                   In               TileDB  73       0   1  52000
 ---DumpBox---                   L1                   L1                  Out               TileDB  72   33416   1  33416
 ---DumpBox---                   L1                   L1                   In               TileDB  72       0   1  33416
 ---DumpBox---                   L1                   L1         expr_20_in_1               TileDB  71   77120   1  38560
 ---DumpBox---                   L1                   L1         expr_20_in_0               TileDB  71   38560   1  38560
 ---DumpBox---                   L1                   L1        expr_20_out_0               TileDB  71       0   1  38560
 ---DumpBox---                   L1                   L1         expr_29_in_3           TileBuffer  70   67088   1     16
 ---DumpBox---                   L1                   L1         expr_29_in_2           TileBuffer  70   67072   1     16
 ---DumpBox---                   L1                   L1         expr_29_in_1               TileDB  70   66560   1    512
 ---DumpBox---                   L1                   L1         expr_29_in_0               TileDB  70   33280   1  33280
 ---DumpBox---                   L1                   L1        expr_29_out_0               TileDB  70       0   1  33280
 ---DumpBox---                   L1                   L1             RsqrtLUT           TileBuffer  69  115120   1    384
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  69  115104   1     16
 ---DumpBox---                   L1                   L1                  Out               TileDB  69  113360   1   1744
 ---DumpBox---                   L1                   L1                   In               TileDB  69       0   1 113360
 ---DumpBox---                   L1                   L1        expr_28_out_1               TileDB  68   69904   1  32896
 ---DumpBox---                   L1                   L1        expr_28_out_0               TileDB  68   37008   1  32896
 ---DumpBox---                   L1                   L1         expr_28_in_1           TileBuffer  68   32896   1   4112
 ---DumpBox---                   L1                   L1         expr_28_in_0               TileDB  68       0   1  32896
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  67  115104   1     16
 ---DumpBox---                   L1                   L1                  Out               TileDB  67  113360   1   1744
 ---DumpBox---                   L1                   L1                   In               TileDB  67       0   1 113360
 ---DumpBox---                   L1                   L1                Infos           TileBuffer  66  115680   1      8
 ---DumpBox---                   L1                   L1                  Out               TileDB  66   57840   1  57840
 ---DumpBox---                   L1                   L1                   In               TileDB  66       0   1  57840
